Entry,Entryname,Status,Proteinnames,Genenames,Organism,Length,ECnumber,Geneontology,Crossreference
A0A125RL88,A0A125RL88_HUMAN,unreviewed,MHC class I antigen (Fragment),Homo sapiens (Human),365,HLA-C,,integral component of membrane [GO:0016021]; MHC class I protein complex [GO:0042612]; antigen processing and presentation of peptide antigen via MHC class I [GO:0002474]; immune response [GO:0006955],IPR007110;IPR036179;IPR013783;IPR003006;IPR003597;IPR011161;IPR037055;IPR011162;IPR001039;IPR010579;
B4DY09,B4DY09_HUMAN,unreviewed,"Interleukin enhancer-binding factor 2 (cDNA FLJ51660, highly similar to Interleukin enhancer-binding factor 2)",Homo sapiens (Human),352,ILF2,,nucleoplasm [GO:0005654]; ATP binding [GO:0005524]; RNA binding [GO:0003723]; transferase activity [GO:0016740]; immune response [GO:0006955],IPR006116;IPR006561;
Q9UIG9,Q9UIG9_HUMAN,unreviewed,Tumor necrosis factor receptor 2 (Fragment),Homo sapiens (Human),92,TNFR2,,membrane [GO:0016020]; tumor necrosis factor-activated receptor activity [GO:0005031],IPR020411;IPR001507;
A0A5C0QHA2,A0A5C0QHA2_HUMAN,unreviewed,MHC class I antigen,Homo sapiens (Human),366,HLA-C,,,
A0A024R5U5,A0A024R5U5_HUMAN,unreviewed,"ADAM metallopeptidase domain 10, isoform CRA_b",Homo sapiens (Human),748,ADAM10 hCG_40040,,adherens junction [GO:0005912]; cell surface [GO:0009986]; dendritic spine [GO:0043197]; glutamatergic synapse [GO:0098978]; intracellular membrane-bounded organelle [GO:0043231]; neuronal cell body [GO:0043025]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; pore complex [GO:0046930]; postsynaptic density [GO:0014069]; postsynaptic membrane [GO:0045211]; synaptic vesicle [GO:0008021]; trans-Golgi network [GO:0005802]; metalloendopeptidase activity [GO:0004222]; protein homodimerization activity [GO:0042803]; protein kinase binding [GO:0019901]; amyloid-beta formation [GO:0034205]; cochlea development [GO:0090102]; in utero embryonic development [GO:0001701]; membrane protein ectodomain proteolysis [GO:0006509]; Notch signaling pathway [GO:0007219]; pore complex assembly [GO:0046931]; positive regulation of apoptotic process [GO:0043065]; postsynapse organization [GO:0099173]; protein phosphorylation [GO:0006468]; protein processing [GO:0016485]; regulation of dendritic spine morphogenesis [GO:0061001]; regulation of neurotransmitter receptor localization to postsynaptic specialization membrane [GO:0098696]; regulation of Notch signaling pathway [GO:0008593]; regulation of vasculature development [GO:1901342]; response to antineoplastic agent [GO:0097327]; spermatogenesis [GO:0007283],IPR034025;IPR027053;IPR001762;IPR036436;IPR024079;IPR001590;IPR002870;
J7H466,J7H466_HUMAN,unreviewed,NANOGP8 (Fragment),Homo sapiens (Human),130,NANOGP8,,,
C0KXH2,C0KXH2_HUMAN,unreviewed,HLA class I histocompatibility antigen B alpha chain (MHC class I antigen) (MHC class I protein),Homo sapiens (Human),362,HLA-B HLA,,integral component of membrane [GO:0016021]; MHC class I protein complex [GO:0042612]; antigen processing and presentation of peptide antigen via MHC class I [GO:0002474]; immune response [GO:0006955],IPR007110;IPR036179;IPR013783;IPR003006;IPR003597;IPR011161;IPR037055;IPR011162;IPR001039;IPR010579;
A0A5C2G5N1,A0A5C2G5N1_HUMAN,unreviewed,IGH c118_heavy__IGHV4-31_IGHD5-24_IGHJ2 (IGH c179_heavy__IGHV4-31_IGHD5-24_IGHJ2) (IGH c259_heavy__IGHV4-31_IGHD5-24_IGHJ2) (IGH c579_heavy__IGHV4-31_IGHD5-24_IGHJ2) (IGH c607_heavy__IGHV4-31_IGHD5-24_IGHJ2) (Fragment),Homo sapiens (Human),123,,,,
J3QLH1,J3QLH1_HUMAN,unreviewed,ARF GTPase-activating protein GIT1 (Fragment),Homo sapiens (Human),228,GIT1,,,IPR032352;IPR013724;
A0A0S4XRJ3,A0A0S4XRJ3_HUMAN,unreviewed,MHC class I antigen,Homo sapiens (Human),365,HLA-A,,integral component of membrane [GO:0016021]; MHC class I protein complex [GO:0042612]; antigen processing and presentation of peptide antigen via MHC class I [GO:0002474]; immune response [GO:0006955],IPR007110;IPR036179;IPR013783;IPR003006;IPR003597;IPR011161;IPR037055;IPR011162;IPR001039;IPR010579;
Q16070,Q16070_HUMAN,unreviewed,Neurofilament heavy subunit (Fragment),Homo sapiens (Human),20,NEFH,,,
F8VZG5,F8VZG5_HUMAN,unreviewed,"Adenylate kinase 2, mitochondrial",Homo sapiens (Human),162,AK2,,ATP binding [GO:0005524]; nucleobase-containing compound kinase activity [GO:0019205]; nucleobase-containing compound metabolic process [GO:0006139],IPR000850;IPR033690;IPR027417;
A0A2U7N9Q5,A0A2U7N9Q5_HUMAN,unreviewed,MHC class I antigen (Fragment),Homo sapiens (Human),181,HLA-C,,,IPR011161;IPR037055;IPR011162;IPR001039;
A0A5C2FY08,A0A5C2FY08_HUMAN,unreviewed,IGL c515_light_IGKV3-20_IGKJ1 (Fragment),Homo sapiens (Human),108,,,,
A0A4D6BXQ4,A0A4D6BXQ4_HUMAN,unreviewed,NADH-ubiquinone oxidoreductase chain 5 (EC 7.1.1.2),Homo sapiens (Human),601,ND5,7.1.1.2,integral component of membrane [GO:0016021]; mitochondrial inner membrane [GO:0005743]; respirasome [GO:0070469]; NADH dehydrogenase (ubiquinone) activity [GO:0008137]; ATP synthesis coupled electron transport [GO:0042773],IPR010934;IPR003945;IPR001750;IPR001516;
I3L2W0,I3L2W0_HUMAN,unreviewed,Rab effector Noc2 (Fragment),Homo sapiens (Human),83,RPH3AL,,Rab GTPase binding [GO:0017137]; intracellular protein transport [GO:0006886]; regulation of exocytosis [GO:0017157],IPR041282;IPR010911;IPR030538;IPR013083;
B4DYG2,B4DYG2_HUMAN,unreviewed,"cDNA FLJ53397, highly similar to Mitotic checkpoint serine/threonine-proteinkinase BUB1",Homo sapiens (Human),1065,,,ATP binding [GO:0005524]; protein kinase activity [GO:0004672]; mitotic spindle assembly checkpoint [GO:0007094],IPR015661;IPR011009;IPR013212;IPR000719;IPR017441;IPR008271;
C9JSF2,C9JSF2_HUMAN,unreviewed,Heat shock factor 2-binding protein (Fragment),Homo sapiens (Human),226,HSF2BP,,,IPR039584;
A0A343GG84,A0A343GG84_HUMAN,unreviewed,NADH-ubiquinone oxidoreductase chain 4 (EC 7.1.1.2),Homo sapiens (Human),459,ND4,7.1.1.2,"integral component of membrane [GO:0016021]; mitochondrial membrane [GO:0031966]; respirasome [GO:0070469]; NADH dehydrogenase (ubiquinone) activity [GO:0008137]; mitochondrial electron transport, NADH to ubiquinone [GO:0006120]",IPR000260;IPR010227;IPR003918;IPR001750;
A0A411PX88,A0A411PX88_HUMAN,unreviewed,MHC class II antigen,Homo sapiens (Human),257,DPB1,,integral component of membrane [GO:0016021]; MHC class II protein complex [GO:0042613]; adaptive immune response [GO:0002250]; antigen processing and presentation of peptide or polysaccharide antigen via MHC class II [GO:0002504],IPR007110;IPR036179;IPR013783;IPR003006;IPR003597;IPR011162;IPR014745;IPR000353;
A0A5C2GX35,A0A5C2GX35_HUMAN,unreviewed,IG c1147_heavy_IGHV3-48_IGHD3-3_IGHJ3 (Fragment),Homo sapiens (Human),124,,,,
A0A1C3PI45,A0A1C3PI45_HUMAN,unreviewed,HLA class II histocompatibility antigen DP beta chain (MHC class II antigen),Homo sapiens (Human),258,HLA-DPB1,,integral component of membrane [GO:0016021]; MHC class II protein complex [GO:0042613]; adaptive immune response [GO:0002250]; antigen processing and presentation of peptide or polysaccharide antigen via MHC class II [GO:0002504],IPR007110;IPR036179;IPR013783;IPR003006;IPR003597;IPR011162;IPR014745;IPR000353;
Q8N1U3,Q8N1U3_HUMAN,unreviewed,"HCG2010716, isoform CRA_a (cDNA FLJ37553 fis, clone BRCAN2028338, moderately similar to Mus musculus serine hydrolase protein, isoform 2)",Homo sapiens (Human),146,hCG_2010716,,hydrolase activity [GO:0016787],IPR029058;IPR000073;
A0A0F7GA54,A0A0F7GA54_HUMAN,unreviewed,Truncated breast and ovarian cancer susceptibility protein 1 (Fragment),Homo sapiens (Human),55,BRCA1,,,
E9PNT5,E9PNT5_HUMAN,unreviewed,DNA repair protein RAD51 homolog 1 (Fragment),Homo sapiens (Human),172,RAD51,,ATP binding [GO:0005524]; DNA binding [GO:0003677]; DNA-dependent ATPase activity [GO:0008094]; DNA repair [GO:0006281],IPR013632;IPR010995;IPR027417;IPR020588;
C7FDP4,C7FDP4_HUMAN,unreviewed,MHC class I antigen (Fragment),Homo sapiens (Human),181,HLA-A,,,IPR011161;IPR037055;IPR011162;IPR001039;
Q4F6E2,Q4F6E2_HUMAN,unreviewed,Cytochrome c oxidase subunit 1 (EC 1.9.3.1),Homo sapiens (Human),513,COX1,1.9.3.1,integral component of membrane [GO:0016021]; mitochondrial inner membrane [GO:0005743]; respiratory chain complex IV [GO:0045277]; cytochrome-c oxidase activity [GO:0004129]; heme binding [GO:0020037]; metal ion binding [GO:0046872]; aerobic respiration [GO:0009060]; oxidative phosphorylation [GO:0006119],IPR023616;IPR036927;IPR000883;IPR023615;IPR033944;
A0A5C2GY67,A0A5C2GY67_HUMAN,unreviewed,IG c1329_light_IGKV2D-28_IGKJ3 (Fragment),Homo sapiens (Human),112,,,,
Q9NSS6,Q9NSS6_HUMAN,unreviewed,Uncharacterized protein DKFZp761H172,Homo sapiens (Human),250,DKFZp761H172,,integral component of membrane [GO:0016021],IPR042343;
D3U4C9,D3U4C9_HUMAN,unreviewed,MHC class I antigen (Fragment),Homo sapiens (Human),181,HLA-C,,,IPR011161;IPR037055;IPR011162;IPR001039;
Q2KHQ6,Q2KHQ6_HUMAN,unreviewed,"APOL1 protein (Apolipoprotein L, 1)",Homo sapiens (Human),398,APOL1,,extracellular region [GO:0005576]; lipid binding [GO:0008289]; lipid transport [GO:0006869]; lipoprotein metabolic process [GO:0042157],IPR008405;
A0A5C2G9U3,A0A5C2G9U3_HUMAN,unreviewed,IGH + IGL c36_heavy_IGHV3-15_IGHD3-3_IGHJ6 (Fragment),Homo sapiens (Human),130,,,,
A0A024R0Y4,A0A024R0Y4_HUMAN,unreviewed,Transcriptional adapter,Homo sapiens (Human),443,TADA2A TADA2L hCG_28187,,Ada2/Gcn5/Ada3 transcription activator complex [GO:0005671]; mitotic spindle [GO:0072686]; DNA binding [GO:0003677]; transcription coactivator activity [GO:0003713]; mitotic cell cycle [GO:0000278]; regulation of histone acetylation [GO:0035065]; regulation of histone deacetylation [GO:0031063]; regulation of protein phosphorylation [GO:0001932]; regulation of protein stability [GO:0031647]; regulation of transcription by RNA polymerase II [GO:0006357]; regulation of tubulin deacetylation [GO:0090043],IPR041983;IPR016827;IPR009057;IPR001005;IPR017884;IPR007526;
B4DDV3,B4DDV3_HUMAN,unreviewed,"cDNA FLJ52470, highly similar to Mono-ADP-ribosyltransferase sirtuin-6",Homo sapiens (Human),283,,,NAD+ binding [GO:0070403]; transferase activity [GO:0016740],IPR029035;IPR003000;IPR026590;
A0A218NI16,A0A218NI16_HUMAN,unreviewed,MHC class I antigen,Homo sapiens (Human),362,HLA-B,,integral component of membrane [GO:0016021]; MHC class I protein complex [GO:0042612]; antigen processing and presentation of peptide antigen via MHC class I [GO:0002474]; immune response [GO:0006955],IPR007110;IPR036179;IPR013783;IPR003006;IPR003597;IPR011161;IPR037055;IPR011162;IPR001039;IPR010579;
A0A1U9X7F5,A0A1U9X7F5_HUMAN,unreviewed,C6orf47,Homo sapiens (Human),294,,,,IPR029073;
Q8WUW2,Q8WUW2_HUMAN,unreviewed,1-acyl-sn-glycerol-3-phosphate acyltransferase (EC 2.3.1.51),Homo sapiens (Human),279,AGPAT2,2.3.1.51,endoplasmic reticulum [GO:0005783]; integral component of membrane [GO:0016021]; 1-acylglycerol-3-phosphate O-acyltransferase activity [GO:0003841]; phospholipid biosynthetic process [GO:0008654],IPR004552;IPR002123;
F8WF46,F8WF46_HUMAN,unreviewed,"Methylcrotonoyl-CoA carboxylase subunit alpha, mitochondrial",Homo sapiens (Human),56,MCCC1,,,
A4D222,A4D222_HUMAN,unreviewed,Uncharacterized protein LOC401438,Homo sapiens (Human),149,LOC401438 tcag7.1307,,,
A0A344AJY3,A0A344AJY3_HUMAN,unreviewed,Cytochrome c oxidase subunit 1 (EC 1.9.3.1) (Fragment),Homo sapiens (Human),503,COX1,1.9.3.1,integral component of membrane [GO:0016021]; mitochondrial inner membrane [GO:0005743]; respiratory chain complex IV [GO:0045277]; cytochrome-c oxidase activity [GO:0004129]; heme binding [GO:0020037]; metal ion binding [GO:0046872]; aerobic respiration [GO:0009060]; oxidative phosphorylation [GO:0006119],IPR023616;IPR036927;IPR000883;IPR023615;IPR033944;
A0A0K0KR87,A0A0K0KR87_HUMAN,unreviewed,MHC class I antigen (Fragment),Homo sapiens (Human),181,HLA-A,,,IPR011161;IPR037055;IPR011162;IPR001039;
A0A0N7A6W9,A0A0N7A6W9_HUMAN,unreviewed,MHC class II antigen (Fragment),Homo sapiens (Human),87,HLA-DPB1,,MHC class II protein complex [GO:0042613]; antigen processing and presentation [GO:0019882]; immune response [GO:0006955],IPR011162;IPR014745;IPR000353;
A0A0K0KS08,A0A0K0KS08_HUMAN,unreviewed,MHC class II antigen (Fragment),Homo sapiens (Human),87,HLA-DPB1,,MHC class II protein complex [GO:0042613]; antigen processing and presentation [GO:0019882]; immune response [GO:0006955],IPR011162;IPR014745;IPR000353;
A0A024R9X6,A0A024R9X6_HUMAN,unreviewed,"Gamma-aminobutyric acid (GABA) A receptor, alpha 2, isoform CRA_a",Homo sapiens (Human),451,GABRA2 hCG_15318,,integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; extracellular ligand-gated ion channel activity [GO:0005230]; GABA-A receptor activity [GO:0004890]; chloride transport [GO:0006821]; gamma-aminobutyric acid signaling pathway [GO:0007214],IPR006028;IPR001390;IPR005432;IPR006202;IPR036734;IPR006201;IPR036719;IPR006029;IPR018000;
Q4W596,Q4W596_HUMAN,unreviewed,Uncharacterized protein FRAS1 (Fragment),Homo sapiens (Human),475,FRAS1,,,IPR006212;IPR009030;IPR001007;
A0A1B0GW26,A0A1B0GW26_HUMAN,unreviewed,Potassium channel subfamily T member 1 (Fragment),Homo sapiens (Human),33,KCNT1,,,
A0A343H8W5,A0A343H8W5_HUMAN,unreviewed,ATP synthase protein 8,Homo sapiens (Human),68,ATP8,,"integral component of membrane [GO:0016021]; mitochondrial proton-transporting ATP synthase complex, coupling factor F(o) [GO:0000276]; proton transmembrane transporter activity [GO:0015078]; ATP synthesis coupled proton transport [GO:0015986]",IPR039017;IPR001421;
F5H2F2,F5H2F2_HUMAN,unreviewed,"Branched-chain-amino-acid aminotransferase, cytosolic (Fragment)",Homo sapiens (Human),144,BCAT1,,catalytic activity [GO:0003824],IPR036038;
B4E1S2,B4E1S2_HUMAN,unreviewed,Annexin,Homo sapiens (Human),142,ANXA4,,calcium ion binding [GO:0005509]; calcium-dependent phospholipid binding [GO:0005544],IPR001464;IPR018502;IPR018252;IPR037104;IPR002391;
A0A5C2GKD3,A0A5C2GKD3_HUMAN,unreviewed,IG c1301_light_IGLV6-57_IGLJ2 (Fragment),Homo sapiens (Human),111,,,,
A0A0U1RQV4,A0A0U1RQV4_HUMAN,unreviewed,Rho-associated protein kinase 1,Homo sapiens (Human),1137,ROCK1,,ATP binding [GO:0005524]; GTP-Rho binding [GO:0017049]; protein serine/threonine kinase activity [GO:0004674]; Rho protein signal transduction [GO:0007266],IPR000961;IPR011009;IPR000719;IPR017441;IPR015008;IPR037310;IPR008271;
A0A5C2GNA5,A0A5C2GNA5_HUMAN,unreviewed,IG c925_heavy_IGHV5-51_IGHD2-2_IGHJ6 (Fragment),Homo sapiens (Human),127,,,,
Q68DL6,Q68DL6_HUMAN,unreviewed,Uncharacterized protein DKFZp686K04236,Homo sapiens (Human),102,DKFZp686K04236,,,
A0A0A0MTK8,A0A0A0MTK8_HUMAN,unreviewed,Hepatocyte nuclear factor 1-alpha,Homo sapiens (Human),662,HNF1A,,"nucleus [GO:0005634]; DNA binding [GO:0003677]; insulin secretion [GO:0030073]; liver development [GO:0001889]; pancreas development [GO:0031016]; positive regulation of transcription, DNA-templated [GO:0045893]; regulation of transcription by RNA polymerase II [GO:0006357]",IPR039066;IPR006899;IPR023219;IPR006898;IPR006897;IPR009057;IPR001356;IPR010982;
A0A5A4LHD1,A0A5A4LHD1_HUMAN,unreviewed,MHC class I antigen,Homo sapiens (Human),362,HLA-B,,,
A0A4Y7LKT3,A0A4Y7LKT3_HUMAN,unreviewed,MHC class I antigen,Homo sapiens (Human),366,HLA-C,,integral component of membrane [GO:0016021]; MHC class I protein complex [GO:0042612]; antigen processing and presentation of peptide antigen via MHC class I [GO:0002474],IPR007110;IPR036179;IPR013783;IPR003597;IPR011161;IPR037055;IPR011162;IPR001039;IPR010579;
A0A2I4PZJ5,A0A2I4PZJ5_HUMAN,unreviewed,MHC class I antigen (Fragment),Homo sapiens (Human),181,HLA-C,,,IPR011161;IPR037055;IPR011162;IPR001039;
A0A0A7C6K1,A0A0A7C6K1_HUMAN,unreviewed,MHC class I antigen (Fragment),Homo sapiens (Human),181,HLA-C,,,IPR011161;IPR037055;IPR011162;IPR001039;
E9PH66,E9PH66_HUMAN,unreviewed,Signal transducer and activator of transcription 1-alpha/beta (Fragment),Homo sapiens (Human),69,STAT1,,nucleus [GO:0005634]; DNA-binding transcription factor activity [GO:0003700]; signal transduction [GO:0007165],IPR001217;IPR036535;IPR013799;
A0A0F7WA10,A0A0F7WA10_HUMAN,unreviewed,MHC class I antigen (Fragment),Homo sapiens (Human),181,HLA-B,,,IPR011161;IPR037055;IPR011162;IPR001039;
J3QLF9,J3QLF9_HUMAN,unreviewed,F-box only protein 15 (Fragment),Homo sapiens (Human),136,FBXO15,,,IPR036047;IPR001810;
M0QY30,M0QY30_HUMAN,unreviewed,Neurotrophin receptor-interacting factor homolog (Fragment),Homo sapiens (Human),79,ZNF274,,"nucleic acid binding [GO:0003676]; regulation of transcription, DNA-templated [GO:0006355]",IPR001909;IPR036051;
A0A5C2G261,A0A5C2G261_HUMAN,unreviewed,IGL c1557_light_IGLV1-40_IGLJ3 (Fragment),Homo sapiens (Human),111,,,,
H0YMW8,H0YMW8_HUMAN,unreviewed,SAFB-like transcription modulator,Homo sapiens (Human),89,SLTM,,,IPR003034;IPR036361;IPR034780;
A0A0H4MAA2,A0A0H4MAA2_HUMAN,unreviewed,MHC class I antigen (Fragment),Homo sapiens (Human),271,HLA-G,,,IPR007110;IPR036179;IPR013783;IPR003006;IPR003597;IPR011161;IPR037055;IPR011162;IPR001039;
C9J8U1,C9J8U1_HUMAN,unreviewed,Cytospin-A (Fragment),Homo sapiens (Human),788,SPECC1L,,,IPR040166;
B7Z6R4,B7Z6R4_HUMAN,unreviewed,"cDNA FLJ52766, highly similar to Solute carrier family 35 member C2",Homo sapiens (Human),230,,,integral component of membrane [GO:0016021],IPR004853;
A0A286MCF4,A0A286MCF4_HUMAN,unreviewed,MHC class I antigen,Homo sapiens (Human),362,HLA-B,,integral component of membrane [GO:0016021]; MHC class I protein complex [GO:0042612]; antigen processing and presentation of peptide antigen via MHC class I [GO:0002474]; immune response [GO:0006955],IPR007110;IPR036179;IPR013783;IPR003006;IPR003597;IPR011161;IPR037055;IPR011162;IPR001039;IPR010579;
A0A3G1KLT7,A0A3G1KLT7_HUMAN,unreviewed,Cystic fibrosis transmembrane conductance regulating (EC 3.6.3.49) (Fragment),Homo sapiens (Human),118,CFTR,3.6.3.49,integral component of membrane [GO:0016021]; hydrolase activity [GO:0016787]; intracellularly ATP-gated chloride channel activity [GO:0005260],IPR009147;IPR025837;
H0YKL3,H0YKL3_HUMAN,unreviewed,Retinal dehydrogenase 2 (Fragment),Homo sapiens (Human),85,ALDH1A2,,oxidoreductase activity [GO:0016491],IPR016161;IPR016162;IPR015590;
Q6PL46,Q6PL46_HUMAN,unreviewed,Neighbor of BRCA1 gene 2,Homo sapiens (Human),64,NBR2,,,IPR031687;
V9GY01,V9GY01_HUMAN,unreviewed,"Chromosome 15 open reading frame 23, isoform CRA_d (Small kinetochore-associated protein)",Homo sapiens (Human),238,KNSTRN C15orf23 hCG_38973,,centriolar satellite [GO:0034451]; kinetochore [GO:0000776]; mitotic spindle [GO:0072686]; plasma membrane [GO:0005886]; chromosome segregation [GO:0007059]; regulation of attachment of spindle microtubules to kinetochore [GO:0051988]; spindle organization [GO:0007051],IPR033373;
S5DTG6,S5DTG6_HUMAN,unreviewed,MHC class I antigen (Fragment),Homo sapiens (Human),273,HLA-C,,,IPR007110;IPR036179;IPR013783;IPR003006;IPR003597;IPR011161;IPR037055;IPR011162;IPR001039;
B4DN07,B4DN07_HUMAN,unreviewed,"Rho GTPase-activating protein 6 (cDNA FLJ59725, highly similar to Rho-GTPase-activating protein 6)",Homo sapiens (Human),604,ARHGAP6,,GTPase activator activity [GO:0005096]; actin filament organization [GO:0007015]; signal transduction [GO:0007165],IPR041852;IPR008936;IPR030772;IPR037863;IPR000198;
K7ES02,K7ES02_HUMAN,unreviewed,Bleomycin hydrolase (Fragment),Homo sapiens (Human),318,BLMH,,cysteine-type endopeptidase activity [GO:0004197],IPR038765;IPR000169;IPR004134;
B4DMJ1,B4DMJ1_HUMAN,unreviewed,"cDNA FLJ52993, highly similar to Heterogeneous nuclear ribonucleoprotein C",Homo sapiens (Human),135,,,RNA binding [GO:0003723],IPR012677;IPR035979;IPR000504;
A8K4H7,A8K4H7_HUMAN,unreviewed,Amidophosphoribosyltransferase (ATase) (EC 2.4.2.14) (Glutamine phosphoribosylpyrophosphate amidotransferase),Homo sapiens (Human),517,PPAT hCG_2027246,2.4.2.14,amidophosphoribosyltransferase activity [GO:0004044]; iron-sulfur cluster binding [GO:0051536]; metal ion binding [GO:0046872]; 'de novo' IMP biosynthetic process [GO:0006189]; animal organ regeneration [GO:0031100]; cellular response to drug [GO:0035690]; cellular response to insulin stimulus [GO:0032869]; G1/S transition of mitotic cell cycle [GO:0000082]; glutamine catabolic process [GO:0006543]; kidney development [GO:0001822]; lactation [GO:0007595]; maternal process involved in female pregnancy [GO:0060135]; nucleoside metabolic process [GO:0009116]; protein homotetramerization [GO:0051289]; purine nucleobase biosynthetic process [GO:0009113],IPR017932;IPR029055;IPR000836;IPR029057;IPR005854;IPR035584;
Q69YN9,Q69YN9_HUMAN,unreviewed,Uncharacterized protein DKFZp762O213 (Fragment),Homo sapiens (Human),219,DKFZp762O213,,nucleus [GO:0005634]; DNA-binding transcription factor activity [GO:0003700]; sequence-specific DNA binding [GO:0043565],IPR001766;IPR030456;IPR036388;IPR036390;
A0A024RC72,A0A024RC72_HUMAN,unreviewed,"RCC1 domain containing 1, isoform CRA_a",Homo sapiens (Human),376,RCCD1 hCG_32586,,cytosol [GO:0005829]; plasma membrane [GO:0005886],IPR009091;IPR000408;
Q6F3G5,Q6F3G5_HUMAN,unreviewed,MHC class I antigen (Fragment),Homo sapiens (Human),273,HLA-B,,,IPR007110;IPR036179;IPR013783;IPR003006;IPR003597;IPR011161;IPR037055;IPR011162;IPR001039;
A0A140VJH1,A0A140VJH1_HUMAN,unreviewed,Testicular tissue protein Li 45,Homo sapiens (Human),147,,,cysteine-type endopeptidase inhibitor activity [GO:0004869],IPR000010;
A0A343FEB2,A0A343FEB2_HUMAN,unreviewed,ATP synthase subunit a,Homo sapiens (Human),226,ATP6,,"integral component of membrane [GO:0016021]; mitochondrial inner membrane [GO:0005743]; proton-transporting ATP synthase complex, coupling factor F(o) [GO:0045263]; proton transmembrane transporter activity [GO:0015078]; ATP synthesis coupled proton transport [GO:0015986]",IPR000568;IPR023011;IPR035908;
Q27W00,Q27W00_HUMAN,unreviewed,MHC class I antigen (MHC class I histocompatibility antigen),Homo sapiens (Human),366,HLA-C,,integral component of membrane [GO:0016021]; MHC class I protein complex [GO:0042612]; antigen processing and presentation of peptide antigen via MHC class I [GO:0002474]; immune response [GO:0006955],IPR007110;IPR036179;IPR013783;IPR003597;IPR011161;IPR037055;IPR011162;IPR001039;IPR010579;
H0Y9J7,H0Y9J7_HUMAN,unreviewed,TNFAIP3-interacting protein 3 (Fragment),Homo sapiens (Human),86,TNIP3,,cellular response to lipopolysaccharide [GO:0071222]; negative regulation of I-kappaB kinase/NF-kappaB signaling [GO:0043124],IPR033574;
F4NBY9,F4NBY9_HUMAN,unreviewed,MHC class I antigen (Fragment),Homo sapiens (Human),337,HLA-B,,integral component of membrane [GO:0016021],IPR007110;IPR036179;IPR013783;IPR003006;IPR003597;IPR011161;IPR037055;IPR011162;IPR001039;
H0YMM0,H0YMM0_HUMAN,unreviewed,SAFB-like transcription modulator (Fragment),Homo sapiens (Human),111,SLTM,,,IPR034780;
C6K4E1,C6K4E1_HUMAN,unreviewed,MHC class I antigen (Fragment),Homo sapiens (Human),181,HLA-A,,,IPR011161;IPR037055;IPR011162;IPR001039;
E9PR08,E9PR08_HUMAN,unreviewed,Alkaline ceramidase (EC 3.5.1.-),Homo sapiens (Human),80,ACER3,3.5.1.-,"integral component of membrane [GO:0016021]; hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides [GO:0016811]; ceramide metabolic process [GO:0006672]",IPR008901;
M0R1T8,M0R1T8_HUMAN,unreviewed,Zinc finger protein 350 (Fragment),Homo sapiens (Human),52,ZNF350,,"nucleic acid binding [GO:0003676]; regulation of transcription, DNA-templated [GO:0006355]",IPR001909;IPR036051;
A0A0G2JMZ3,A0A0G2JMZ3_HUMAN,unreviewed,Leukocyte immunoglobulin-like receptor subfamily B member 3,Homo sapiens (Human),649,LILRB3,,integral component of membrane [GO:0016021],IPR007110;IPR036179;IPR013783;IPR003599;IPR003598;
A0A2I4PZ33,A0A2I4PZ33_HUMAN,unreviewed,MHC class I antigen (Fragment),Homo sapiens (Human),181,HLA-A,,,IPR011161;IPR037055;IPR011162;IPR001039;
A0A1B1SMR7,A0A1B1SMR7_HUMAN,unreviewed,MHC class II antigen (Fragment),Homo sapiens (Human),89,HLA-DRB1,,MHC class II protein complex [GO:0042613]; antigen processing and presentation [GO:0019882]; immune response [GO:0006955],IPR011162;IPR014745;IPR000353;
Q3LTJ5,Q3LTJ5_HUMAN,unreviewed,MHC class II antigen (Fragment),Homo sapiens (Human),80,HLA-DQB1,,MHC class II protein complex [GO:0042613]; antigen processing and presentation [GO:0019882]; immune response [GO:0006955],IPR011162;IPR014745;IPR000353;
Q9P054,Q9P054_HUMAN,unreviewed,HSPC328 (Fragment),Homo sapiens (Human),172,,,,
H7BXD0,H7BXD0_HUMAN,unreviewed,Leucine-rich repeat-containing protein 74A,Homo sapiens (Human),200,LRRC74A,,,IPR032675;
V9GY95,V9GY95_HUMAN,unreviewed,Mitogen-activated protein kinase kinase kinase kinase 3,Homo sapiens (Human),92,MAP4K3,,ATP binding [GO:0005524]; protein kinase activity [GO:0004672],IPR011009;IPR000719;IPR017441;
Q59GP0,Q59GP0_HUMAN,unreviewed,Solute carrier family 19 member 1 isoform b variant (Fragment),Homo sapiens (Human),268,,,integral component of plasma membrane [GO:0005887]; folate:anion antiporter activity [GO:0008518]; methotrexate transmembrane transporter activity [GO:0015350],IPR002666;IPR036259;IPR028339;
Q59GY6,Q59GY6_HUMAN,unreviewed,ABCC4 protein variant (Fragment),Homo sapiens (Human),776,,,integral component of membrane [GO:0016021]; ATP binding [GO:0005524]; ATPase activity [GO:0016887]; ATPase-coupled transmembrane transporter activity [GO:0042626],IPR003593;IPR011527;IPR036640;IPR003439;IPR017871;IPR030240;IPR027417;
